"","time","mean_calories","mean_intensity","mean_steps"
"1","00:00:00",71.8051391862955,2.12955032119914,42.1884368308351
"2","01:00:00",70.1650589496249,1.41907824222937,23.1028938906752
"3","02:00:00",69.1864951768489,1.04394426580922,17.1103965702036
"4","03:00:00",67.5380493033226,0.443729903536977,6.42658092175777
"5","04:00:00",68.2618025751073,0.633047210300429,12.6995708154506
"6","05:00:00",81.7081545064378,4.95064377682403,43.8690987124464
"7","06:00:00",86.9967776584318,7.77121374865736,178.508055853921
"8","07:00:00",94.4779806659506,10.733619763695,306.049409237379
"9","08:00:00",103.337271750806,14.6680988184748,427.544575725027
"10","09:00:00",106.142857142857,15.3877551020408,433.301825993555
"11","10:00:00",110.460710441335,17.6437029063509,481.665231431647
"12","11:00:00",109.80690399137,16.9212513484358,456.886731391586
"13","12:00:00",117.197396963124,19.8470715835141,548.642082429501
"14","13:00:00",115.309446254072,18.7752442996743,537.698154180239
"15","14:00:00",115.732899022801,18.8686210640608,540.513572204126
"16","15:00:00",106.637158469945,15.5846994535519,406.31912568306
"17","16:00:00",113.327453142227,17.7166482910695,496.845644983462
"18","17:00:00",122.752759381898,21.6556291390728,550.23289183223
"19","18:00:00",123.492273730684,21.9216335540839,599.169977924945
"20","19:00:00",121.484547461369,21.3852097130243,583.390728476821
"21","20:00:00",102.35761589404,14.3399558498896,353.905077262693
"22","21:00:00",96.0563535911602,12.0729281767956,308.138121546961
"23","22:00:00",88.2654867256637,9.06305309734513,237.987831858407
"24","23:00:00",77.59357696567,4.99667774086379,122.132890365449
